timestamp,chowk_id,chowk_name,current_speed,free_flow,delay,traffic_level,confidence,road_closure,needs_cleaning,cluster_id,priority_rank
29-04-2026 07:05,101,ISBT,29,29,20,Low,1.0,No,False,2,1
29-04-2026 07:05,102,Clock_Tower,42,42,21,Low,1.0,No,False,2,1
29-04-2026 07:05,103,Dilaram_Chowk,33,33,30,Low,1.0,No,False,2,1
29-04-2026 07:05,104,Ballupur,37,37,41,Low,1.0,No,False,2,1
29-04-2026 07:05,105,Prince_Chowk,21,21,22,Low,1.0,No,False,2,1
29-04-2026 07:05,106,Balliwala,30,30,21,Low,1.0,No,False,2,1
29-04-2026 07:06,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:06,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:06,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:06,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:06,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:06,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:07,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:07,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:07,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:07,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:07,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:07,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:08,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:08,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:08,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:08,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:08,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:08,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:09,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:09,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:10,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:10,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:10,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:10,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:11,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:11,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:11,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:11,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:11,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:11,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:12,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:12,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:12,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:12,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:12,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:12,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:13,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:13,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:13,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:13,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:13,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:13,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:14,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:14,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:14,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:14,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:14,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:14,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:15,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:15,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:15,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:15,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:15,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:15,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:16,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:16,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:16,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:16,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:16,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:16,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:17,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:17,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:17,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:17,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:17,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:17,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:18,101,ISBT,29,29,0,Low,1.0,No,False,0,4
29-04-2026 07:18,102,Clock_Tower,42,42,0,Low,1.0,No,False,0,4
29-04-2026 07:18,103,Dilaram_Chowk,33,33,0,Low,1.0,No,False,0,4
29-04-2026 07:18,104,Ballupur,37,37,0,Low,1.0,No,False,0,4
29-04-2026 07:18,105,Prince_Chowk,21,21,0,Low,1.0,No,False,3,4
29-04-2026 07:18,106,Balliwala,30,30,0,Low,1.0,No,False,0,4
29-04-2026 07:19,101,ISBT,29,29,0,Low,1.0,No,False,0,4
